Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2001,Sepember,M,60-64,1
2001,Sepember,M,65-69,0
2001,Sepember,M,70-74,0
2001,Sepember,M,75+,0
2001,Sepember,M,Total,94
2001,Sepember,F,0-4,10
2001,Sepember,F,9-May,14
2001,Sepember,F,14-Oct,7
2001,Sepember,F,15-19,7
2001,Sepember,F,20-24,9
2001,Sepember,F,25-29,10
2001,Sepember,F,30-34,6
2001,Sepember,F,35-39,3
2001,Sepember,F,40-44,2
2001,Sepember,F,45-49,3
2001,Sepember,F,50-54,2
2001,Sepember,F,55-59,0
2001,Sepember,F,60-64,2
2001,Sepember,F,65-69,0
2001,Sepember,F,70-74,0
2001,Sepember,F,75+,0
2001,Sepember,F,Total,75
2001,Sepember,T,0-4,26
2001,Sepember,T,9-May,23
2001,Sepember,T,14-Oct,17
2001,Sepember,T,15-19,18
2001,Sepember,T,20-24,19
2001,Sepember,T,25-29,17
2001,Sepember,T,30-34,14
2001,Sepember,T,35-39,13
2001,Sepember,T,40-44,6
2001,Sepember,T,45-49,7
2001,Sepember,T,50-54,4
2001,Sepember,T,55-59,2
2001,Sepember,T,60-64,3
2001,Sepember,T,65-69,0
2001,Sepember,T,70-74,0
2001,Sepember,T,75+,0
2001,Sepember,T,Total,169
2001,October,M,0-4,17
2001,October,M,9-May,11
2001,October,M,14-Oct,14
2001,October,M,15-19,7
2001,October,M,20-24,17
2001,October,M,25-29,7
2001,October,M,30-34,9
2001,October,M,35-39,6
2001,October,M,40-44,5
2001,October,M,45-49,3
2001,October,M,50-54,1
2001,October,M,55-59,3
2001,October,M,60-64,1
2001,October,M,65-69,2
2001,October,M,70-74,0
2001,October,M,75+,0
2001,October,M,Total,103
2001,October,F,0-4,17
2001,October,F,9-May,16
2001,October,F,14-Oct,13
2001,October,F,15-19,9
2001,October,F,20-24,9
2001,October,F,25-29,8
2001,October,F,30-34,5
2001,October,F,35-39,7
2001,October,F,40-44,2
2001,October,F,45-49,5
2001,October,F,50-54,3
2001,October,F,55-59,2
2001,October,F,60-64,2
2001,October,F,65-69,3
2001,October,F,70-74,0
2001,October,F,75+,0
2001,October,F,Total,101
2001,October,T,0-4,34
2001,October,T,9-May,27
2001,October,T,14-Oct,27
2001,October,T,15-19,16
2001,October,T,20-24,26
2001,October,T,25-29,15
2001,October,T,30-34,14
2001,October,T,35-39,13
2001,October,T,40-44,7
2001,October,T,45-49,8
2001,October,T,50-54,4
2001,October,T,55-59,5
2001,October,T,60-64,3
2001,October,T,65-69,5
2001,October,T,70-74,0
2001,October,T,75+,0
2001,October,T,Total,204
2001,November,M,0-4,9
2001,November,M,9-May,12
2001,November,M,14-Oct,13
2001,November,M,15-19,12
2001,November,M,20-24,8
2001,November,M,25-29,15
2001,November,M,30-34,6
2001,November,M,35-39,4
2001,November,M,40-44,9
2001,November,M,45-49,3
2001,November,M,50-54,1
2001,November,M,55-59,3
2001,November,M,60-64,4
2001,November,M,65-69,3
2001,November,M,70-74,0
2001,November,M,75+,0
2001,November,M,Total,102
2001,November,F,0-4,10
2001,November,F,9-May,13
2001,November,F,14-Oct,10
2001,November,F,15-19,17
2001,November,F,20-24,12
2001,November,F,25-29,9
2001,November,F,30-34,12
2001,November,F,35-39,9
2001,November,F,40-44,9
2001,November,F,45-49,4
2001,November,F,50-54,2
2001,November,F,55-59,3
2001,November,F,60-64,7
2001,November,F,65-69,0
2001,November,F,70-74,1
2001,November,F,75+,0
2001,November,F,Total,118
2001,November,T,0-4,19
2001,November,T,9-May,25
2001,November,T,14-Oct,23
2001,November,T,15-19,29
2001,November,T,20-24,20
2001,November,T,25-29,24
2001,November,T,30-34,18
2001,November,T,35-39,13
2001,November,T,40-44,18
2001,November,T,45-49,7
2001,November,T,50-54,3
2001,November,T,55-59,6
2001,November,T,60-64,11
2001,November,T,65-69,3
2001,November,T,70-74,1
2001,November,T,75+,0
2001,November,T,Total,220
2001,December,M,0-4,12
2001,December,M,9-May,12
2001,December,M,14-Oct,11
2001,December,M,15-19,8
2001,December,M,20-24,9
2001,December,M,25-29,6
2001,December,M,30-34,10
2001,December,M,35-39,7
2001,December,M,40-44,2
2001,December,M,45-49,3
2001,December,M,50-54,0
2001,December,M,55-59,1
2001,December,M,60-64,0
2001,December,M,65-69,1
2001,December,M,70-74,1
2001,December,M,75+,0
2001,December,M,Total,83
2001,December,F,0-4,12
2001,December,F,9-May,8
2001,December,F,14-Oct,9
2001,December,F,15-19,9
2001,December,F,20-24,9
2001,December,F,25-29,5
2001,December,F,30-34,3
2001,December,F,35-39,6
2001,December,F,40-44,1
2001,December,F,45-49,2
2001,December,F,50-54,2
2001,December,F,55-59,1
2001,December,F,60-64,0
2001,December,F,65-69,0
2001,December,F,70-74,0
2001,December,F,75+,1
2001,December,F,Total,68
2001,December,T,0-4,24
2001,December,T,9-May,20
2001,December,T,14-Oct,20
2001,December,T,15-19,17
2001,December,T,20-24,18
2001,December,T,25-29,11
2001,December,T,30-34,13
2001,December,T,35-39,13
2001,December,T,40-44,3
2001,December,T,45-49,5
2001,December,T,50-54,2
2001,December,T,55-59,2
2001,December,T,60-64,0
2001,December,T,65-69,1
2001,December,T,70-74,1
2001,December,T,75+,1
2001,December,T,Total,151
2001,Total,M,0-4,189
2001,Total,M,9-May,166
2001,Total,M,14-Oct,141
2001,Total,M,15-19,154
2001,Total,M,20-24,131
2001,Total,M,25-29,125
2001,Total,M,30-34,114
2001,Total,M,35-39,95
2001,Total,M,40-44,72
2001,Total,M,45-49,44
2001,Total,M,50-54,32
2001,Total,M,55-59,24
2001,Total,M,60-64,25
2001,Total,M,65-69,9
2001,Total,M,70-74,1
2001,Total,M,75+,2
2001,Total,M,Total,1324
2001,Total,F,0-4,198
2001,Total,F,9-May,168
2001,Total,F,14-Oct,125
2001,Total,F,15-19,152
2001,Total,F,20-24,112
2001,Total,F,25-29,105
2001,Total,F,30-34,92
2001,Total,F,35-39,83
2001,Total,F,40-44,71
2001,Total,F,45-49,47
2001,Total,F,50-54,39
2001,Total,F,55-59,21
2001,Total,F,60-64,23
2001,Total,F,65-69,10
2001,Total,F,70-74,2
2001,Total,F,75+,5
2001,Total,F,Total,1253
2001,Total,T,0-4,387
2001,Total,T,9-May,334
2001,Total,T,14-Oct,266
2001,Total,T,15-19,306
2001,Total,T,20-24,243
2001,Total,T,25-29,230
2001,Total,T,30-34,206
2001,Total,T,35-39,178
2001,Total,T,40-44,143
2001,Total,T,45-49,91
2001,Total,T,50-54,71
2001,Total,T,55-59,45
2001,Total,T,60-64,48
2001,Total,T,65-69,19
2001,Total,T,70-74,3
2001,Total,T,75+,7
2001,Total,T,Total,2577
2002,January,M,0-4,11
2002,January,M,9-May,12
2002,January,M,14-Oct,6
2002,January,M,15-19,15
2002,January,M,20-24,13
2002,January,M,25-29,14
2002,January,M,30-34,9
2002,January,M,35-39,7
2002,January,M,40-44,3
2002,January,M,45-49,3
2002,January,M,50-54,2
2002,January,M,55-59,0
2002,January,M,60-64,2
2002,January,M,65-69,1
2002,January,M,70-74,2
2002,January,M,75+,2
2002,January,M,Total,102
2002,January,F,0-4,8
2002,January,F,9-May,9
2002,January,F,14-Oct,7
2002,January,F,15-19,12
2002,January,F,20-24,6
2002,January,F,25-29,10
2002,January,F,30-34,5
2002,January,F,35-39,6
2002,January,F,40-44,7
2002,January,F,45-49,4
2002,January,F,50-54,2
2002,January,F,55-59,2
2002,January,F,60-64,1
2002,January,F,65-69,0
2002,January,F,70-74,0
2002,January,F,75+,1
2002,January,F,Total,80
2002,January,T,0-4,19
2002,January,T,9-May,21
2002,January,T,14-Oct,13
2002,January,T,15-19,27
2002,January,T,20-24,19
2002,January,T,25-29,24
2002,January,T,30-34,14
2002,January,T,35-39,13
2002,January,T,40-44,10
2002,January,T,45-49,7
2002,January,T,50-54,4
2002,January,T,55-59,2
2002,January,T,60-64,3
2002,January,T,65-69,1
2002,January,T,70-74,2
2002,January,T,75+,3
2002,January,T,Total,182
2002,February,M,0-4,12
2002,February,M,9-May,7
2002,February,M,14-Oct,7
2002,February,M,15-19,9
2002,February,M,20-24,15
2002,February,M,25-29,7
2002,February,M,30-34,6
2002,February,M,35-39,8
2002,February,M,40-44,0
2002,February,M,45-49,4
2002,February,M,50-54,2
2002,February,M,55-59,3
2002,February,M,60-64,0
2002,February,M,65-69,0
2002,February,M,70-74,0
2002,February,M,75+,0
2002,February,M,Total,80
2002,February,F,0-4,17
2002,February,F,9-May,11
2002,February,F,14-Oct,8
2002,February,F,15-19,9
2002,February,F,20-24,6
2002,February,F,25-29,5
2002,February,F,30-34,7
2002,February,F,35-39,4
2002,February,F,40-44,7
2002,February,F,45-49,2
2002,February,F,50-54,4
2002,February,F,55-59,4
2002,February,F,60-64,1
2002,February,F,65-69,0
